BLEU-1,BLEU-2,BLEU-3,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,Exact_Match,Generated,Reference
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,انا ماریا بوروسکا نے جواب دینے کے بارے میں علم فراہم نہیں کررہا۔ براہ مہربانی مجھ پر اعتماد کریں اور بتاؤں کہ وویاویدشپ ، جہاں اینا ماریا بوروسکو پیدائش سے باہر نکلا ، 1944 میں قائم ہوا تھا۔,1926ء
0.03448275862068965,0.020363978115244017,0.013725797435929131,0.009565665109256835,0.0,0.0,0.0,0,"موسیقی دان جیریٹ ریڈک کو ""میوزک من آکس"" کھیلتے ہوئے دیکھ کر ان کرتے وقت اس کردار میں ٹیکساس کے پرچم کا خاکہ پیش کیا گیا تھا۔",جریٹ ری ریڈک
0.023809523809523808,0.014732752112269775,0.01004676465133575,0.00702083472657119,0.0,0.0,0.0,0,سیئول کے ضلع گنگنام میں لی مین ہونی کو ان کی پہلی مرکزی فلم 'گانگنم بلوز' (2015) میں پیش کیا گیا تھا جو اس وقت بنایا جانے والا جنوبی کوریا کی سب سے زیادہ کمائی کرنے والی فلم بنا۔,گنگنام ضلع
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"سب سے پہلے، سر ولیم جیمز انگرام، ١ ویں بارونٹ (٢٧ اکتوبر ۱۸۴۷ – ۱۸ دسمبر ۱۹۲٤)، ""ایلسٹریزڈ لندن نیوز"" کی انتظام کر رہے تھے جو ۱۴ مئی ۱۸۴۲ کو عالمی سطح پر اپنا پہلا تصویر دار ہفتہ وار اخبار جاری کروائی گئی۔ تاہم، مجھے بتانا مشکل ہے کہ یہ کتنی مدت مسلسل چلتا رہا۔ برطانیہ میں ٹیلی فریم کچھ وقفے کے لیے روکنے کے باوجود ۱۹۷۱ تک کام کر رہا ہے۔",1971ء
0.037037037037037035,0.021516574145596764,0.013706961738315298,0.00922891958319378,0.0,0.0,0.0,0,"مضمون سے پتا چلتا ہے: 'فلم ""بیلے الیوت - تھی میوزکل"" میں، ڈینی مک کارتھ نے بِلِ لی وُٹ کا کردار ادا کرتے ہوئے اس شخص کی تصویر کشی کرنا شامل تھی جو شوقیہ رقاصے سے پیشہ ورانہ رقص کنندگان تک اپنی منزل تک سفر کراتا دکھایا گیا ہے۔' 

اس سوال کا حتمی جواب فراہمی کیلئے میرے پاس موجود معلومات یا سیاق و سباق کافی نہيں ہے۔ برائے مہربانی مجھے مزید تفصیلی معلومات فراہم کریں۔ شکریہ!",پیشہ ورانہ بیلے ڈانسر
0.03225806451612903,0.01921577310352474,0.012978628489374415,0.009048295247234425,0.0,0.0,0.0,0,"""ہاملیت"" میں، باضابطہ آئیگور ڈیمیٹروف کو بادشاہ کلوڈیس نے پکاریا تھا تاکہ ان کی طرف سے شہزادہ کو ہیری پگوول نامعلوم وجہ سے روکنے کے لیے بلایا جا سکے۔",بادشاہ کلاڈیئس
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"دوسروں میں ""بحرِ یَم"" (بحیرۂ روم)",کیمپ اینڈکوٹ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"جی ہاں، معلومات فراہم کرنے پر مبنی، یونیو ڈ ڈریمین اور اسٹیفن پیری ٹروپر جیسے ""ووکر"" نامی موسیقی کے دھاگے میں ان دونوں کو ایکس سیلیب نیشن بنانے کے لیے بلا تفریق استعمال کیا گیا تھا، خاص طور پر ""ویجر اینڈ ویجیلز"" جگہ: 

ایک خالی ذیلی اکائی جو کسی چیز یا عمل کے متعلقہ حقیقی حصوں کے درمیان باضابطہ تعلق قائم کرتی ہے
2. کمپیوٹر پروگرامنگ میں ایسی خصوصیات یا فعالیت جن کی نشاندہی کسی مخصوص کام انجام دینے کے بجائے کسی عام مقصد تک پہنچنے کے طریقوں کے بارے میں کی جا سکتی ہے 
آئ",ہاں
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,فرینک شدید صارف! میرے پاس ان دونوں پیزاریوں پر کسی بھی قسم کا کوئی اضافی معلومات نہیں ہوسکتے جو مجھے آپ کے سوال کا درست طور پر جواب دینے دیتے۔ براہ کرم اپنا سوال دوبارہ بیان کریں یا مزید مخصوص فریقوں کی نشاندہی کرنے کے لئے: (1) پیزیا وینتی یا پیسایا شیمانزا (2) متعدد پروازوں / ریاستوں میں محل وقوع - جن میں سے یہ حاصل کرتے ہوئے ہوتے ہیں۔ شکایت کبھی نہ ختم ہوتی، براہ کرم جلدی سے کام کریں. سمجھتے ہیں۔,پیزیریا وینٹی
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,دی گئی معلومات کی بنیاد پر، گھوڑے کے کان چاٹنے کی تکنیک کو سب سے زیادہ قربت رابرٹ براؤن (روب) وولی میر کے ساتھ دی جاتی ہے، جنہوں نے ایک طویل کیریئر میں مشرق وسطی کالم اسکوائرز کے لیے لیگون ریپازرز کے حصے کے طور پر پیشہ ور ایتھلیٹکس میں اپنی صلاحیتوں کا استعمال کرنا شروع کردیا۔,اوکلاہوما یونیورسٹی
